ID,Name,atkId_Bullet,sfxId_Bullet,sfxId_Hit,sfxId_Flick,life,dist,shootInterval,gravityInRange,gravityOutRange,hormingStopRange,initVellocity,accelInRange,accelOutRange,maxVellocity,minVellocity,accelTime,homingBeginDist,hitRadius,hitRadiusMax,spreadTime,expDelay,hormingOffsetRange,dmgHitRecordLifeTime,externalForce,spEffectIDForShooter,autoSearchNPCThinkID,HitBulletID,spEffectId0,spEffectId1,spEffectId2,spEffectId3,spEffectId4,numShoot,homingAngle,shootAngle,shootAngleInterval,shootAngleXInterval,damageDamp,spelDamageDamp,fireDamageDamp,thunderDamageDamp,staminaDamp,knockbackDamp,shootAngleXZ,lockShootLimitAng,isPenetrate,prevVelocityDirRate,atkAttribute,spAttribute,Material_AttackType,Material_AttackMaterial,Material_Size,launchConditionType,FollowType,EmittePosType,isAttackSFX,isEndlessHit,isPenetrateMap,isHitBothTeam,isUseSharedHitList,isUseMultiDmyPolyIfPlace,attachEffectType,isHitForceMagic,isIgnoreSfxIfHitWater,isIgnoreMoveStateIfHitWater,isHitDarkForceMagic,pad,
6400,Gravelord Sword Dance,0,-1,-1,-1,0.06,0,0.03,0,0,0,0,0,0,0,0,0,0,0.5,-1,0,0,0,1.5,0,0,0,6410,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,[0|0|0]
6401,Gravelord Sword Dance - Level 1,0,-1,-1,-1,0.06,0,0.03,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0.5,0,0,0,6411,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,[0|0|0]
6402,Gravelord Sword Dance - Level 2,0,-1,-1,-1,0.06,0,0.03,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0.5,0,0,0,6412,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,[0|0|0]
6403,Gravelord Sword Dance - Level 3,0,-1,-1,-1,0.06,0,0.03,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0.5,0,0,0,6413,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,[0|0|0]
6410,Gravelord Sword Dance - HitBullet,12000,20245,-1,-1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0.5,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,[0|0|0]
6411,Gravelord Sword Dance - Level 1 - HitBullet,12001,20245,-1,-1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0.5,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,[0|0|0]
6412,Gravelord Sword Dance - Level 2 - HitBullet,12002,20245,-1,-1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0.5,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,[0|0|0]
6413,Gravelord Sword Dance - Level 3 - HitBullet,12003,20245,-1,-1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0.5,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,[0|0|0]
6500,Gravelord Greatsword Dance,0,-1,-1,-1,0.06,0,0.03,0,0,0,0,0,0,0,0,0,0,0.5,-1,0,0,0,0.5,0,0,0,6510,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,[0|0|0]
6501,Gravelord Greatsword Dance - Level 1,0,-1,-1,-1,0.06,0,0.03,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0.5,0,0,0,6511,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,[0|0|0]
